Ascendancy Technology Tree
==========================

Below is a list of researchable technologies in the game _Ascendancy_, adapted from a list found at the URL "https://b-sting.nl/ascendancy/research-list.html".  All original names should probably be considered copyrighted by The Logic Factory, or its heirs.  Fair use!

Invention						Prerequisites											Cost	Allows Construction of											Prerequisite of
Action At A Distance			Teleinfiltration, Megagraph Theory						12960	Moving Part Exploiter											none
Doom Mechanization				Teleinfiltration, Hyperwave Emission Control			37600	Disintegrator, Self-Destructotron								none
Nanofocusing					Nanoenergons											22080	Nanomanipulator													Self Modifying Structures, Nanodeflection, Illusory Machinizations
Snooping						Thought Analysis, Hyperwave Emmision Control			11520	Lane Endoscope													none
Self Modifying Structures		Nanofocusing, Microbotics								12000	Remote Repair Facility											none
Nanopropulsion					Nanoenergons, Hyperdrive Technology						17600	Nanowave Space Bender											Accel. Energy Replenishment, Gravity Flow Control
Nanodeflection					Nanofocusing, Inertia Control							21600	Nanoshell														none
Accel Energy Replenishment		Megagraph Theory, Nanopropulsion						12480	Lush Growth Bomb												Illusory Machinisations
Gravity Flow Control			Nanopropulsion											12720	Gravimetric Condensor											none
Illusory Machinations			Accel. Energy Replenishment, Nanofocusing				33000	Invulnerablizer													none
